"B73_noP_all_ONLY","B73_PvsB73_noP_ONLY","MICH_noPvsB73_noP_ONLY","MICH_PvsB73_noP_ONLY","B73_noP_all_B73_PvsB73_noP","B73_noP_all_MICH_noPvsB73_noP","B73_noP_all_MICH_PvsB73_noP","B73_PvsB73_noP_MICH_noPvsB73_noP","B73_PvsB73_noP_MICH_PvsB73_noP","MICH_noPvsB73_noP_MICH_PvsB73_noP","ALL"
"Zm00001eb395230",NA,NA,NA,"Zm00001eb401970","Zm00001eb098650","Zm00001eb294450","Zm00001eb192630","Zm00001eb187430","Zm00001eb186400","Zm00001eb157810"
"Zm00001eb105640",NA,NA,NA,"Zm00001eb294450","Zm00001eb157810","Zm00001eb260630","Zm00001eb196830","Zm00001eb192630","Zm00001eb193300","Zm00001eb196200"
"Zm00001eb297390",NA,NA,NA,"Zm00001eb260630","Zm00001eb196200","Zm00001eb098650","Zm00001eb194300","Zm00001eb196830","Zm00001eb241410","Zm00001eb377880"
"Zm00001eb278510",NA,NA,NA,"Zm00001eb098650","Zm00001eb377880","Zm00001eb157810","Zm00001eb371820","Zm00001eb194300","Zm00001eb187430","Zm00001eb316940"
"Zm00001eb396510",NA,NA,NA,"Zm00001eb157810","Zm00001eb316940","Zm00001eb196200","Zm00001eb164960","Zm00001eb371820","Zm00001eb192630","Zm00001eb195600"
"Zm00001eb168100",NA,NA,NA,"Zm00001eb196200","Zm00001eb195600","Zm00001eb377880","Zm00001eb193870","Zm00001eb164960","Zm00001eb196830","Zm00001eb083520"
"Zm00001eb182020",NA,NA,NA,"Zm00001eb377880","Zm00001eb083520","Zm00001eb316940","Zm00001eb196600","Zm00001eb193870","Zm00001eb187890","Zm00001eb262970"
"Zm00001eb323730",NA,NA,NA,"Zm00001eb316940","Zm00001eb262970","Zm00001eb195600","Zm00001eb426570","Zm00001eb196600","Zm00001eb194300","Zm00001eb170050"
"Zm00001eb016200",NA,NA,NA,"Zm00001eb195600","Zm00001eb170050","Zm00001eb083520","Zm00001eb192080","Zm00001eb426570","Zm00001eb187280","Zm00001eb275670"
"Zm00001eb237170",NA,NA,NA,"Zm00001eb083520","Zm00001eb275670","Zm00001eb262970","Zm00001eb192980","Zm00001eb192080","Zm00001eb371820","Zm00001eb010140"
"Zm00001eb392890",NA,NA,NA,"Zm00001eb262970","Zm00001eb010140","Zm00001eb170050","Zm00001eb189170","Zm00001eb037440","Zm00001eb249670","Zm00001eb330710"
"Zm00001eb230750",NA,NA,NA,"Zm00001eb170050","Zm00001eb330710","Zm00001eb275670","Zm00001eb428740","Zm00001eb192980","Zm00001eb164960","Zm00001eb033540"
"Zm00001eb180180",NA,NA,NA,"Zm00001eb275670","Zm00001eb033540","Zm00001eb010140","Zm00001eb182850","Zm00001eb189170","Zm00001eb193870","Zm00001eb299250"
"Zm00001eb352550",NA,NA,NA,"Zm00001eb010140","Zm00001eb299250","Zm00001eb330710","Zm00001eb190350","Zm00001eb147920","Zm00001eb189710","Zm00001eb384970"
"Zm00001eb270630",NA,NA,NA,"Zm00001eb330710","Zm00001eb384970","Zm00001eb033540","Zm00001eb294460","Zm00001eb428740","Zm00001eb189580","Zm00001eb419170"
"Zm00001eb041070",NA,NA,NA,"Zm00001eb033540","Zm00001eb419170","Zm00001eb299250","Zm00001eb191890","Zm00001eb182850","Zm00001eb196600","Zm00001eb442380"
"Zm00001eb387780",NA,NA,NA,"Zm00001eb299250","Zm00001eb442380","Zm00001eb078590","Zm00001eb189900","Zm00001eb190350","Zm00001eb426570","Zm00001eb159000"
"Zm00001eb003080",NA,NA,NA,"Zm00001eb078590","Zm00001eb159000","Zm00001eb384970","Zm00001eb401970","Zm00001eb294460","Zm00001eb192080","Zm00001eb038740"
"Zm00001eb062640",NA,NA,NA,"Zm00001eb384970","Zm00001eb038740","Zm00001eb419170","Zm00001eb193970","Zm00001eb327040","Zm00001eb192980","Zm00001eb203660"
"Zm00001eb151160",NA,NA,NA,"Zm00001eb419170","Zm00001eb203660","Zm00001eb442380","Zm00001eb294450","Zm00001eb189900","Zm00001eb186390","Zm00001eb119610"
"Zm00001eb041150",NA,NA,NA,"Zm00001eb442380","Zm00001eb119610","Zm00001eb159000","Zm00001eb260630","Zm00001eb401970","Zm00001eb189170","Zm00001eb425270"
"Zm00001eb209880",NA,NA,NA,"Zm00001eb159000","Zm00001eb425270","Zm00001eb126380","Zm00001eb189920","Zm00001eb193970","Zm00001eb189570","Zm00001eb189440"
"Zm00001eb287860",NA,NA,NA,"Zm00001eb126380","Zm00001eb189440","Zm00001eb038740","Zm00001eb098650","Zm00001eb294450","Zm00001eb189820","Zm00001eb419990"
"Zm00001eb159140",NA,NA,NA,"Zm00001eb038740","Zm00001eb419990","Zm00001eb203660","Zm00001eb157810","Zm00001eb260630","Zm00001eb428740","Zm00001eb187850"
"Zm00001eb001140",NA,NA,NA,"Zm00001eb203660","Zm00001eb187850","Zm00001eb119610","Zm00001eb196920","Zm00001eb189920","Zm00001eb182850","Zm00001eb323030"
"Zm00001eb372750",NA,NA,NA,"Zm00001eb119610","Zm00001eb323030","Zm00001eb425270","Zm00001eb028910","Zm00001eb098650","Zm00001eb190350","Zm00001eb339870"
"Zm00001eb335810",NA,NA,NA,"Zm00001eb425270","Zm00001eb339870","Zm00001eb189440","Zm00001eb196200","Zm00001eb157810","Zm00001eb060540","Zm00001eb192880"
"Zm00001eb042520",NA,NA,NA,"Zm00001eb189440","Zm00001eb192880","Zm00001eb419990","Zm00001eb188240","Zm00001eb196920","Zm00001eb213070","Zm00001eb381600"
"Zm00001eb015950",NA,NA,NA,"Zm00001eb419990","Zm00001eb381600","Zm00001eb187850","Zm00001eb377880","Zm00001eb028910","Zm00001eb190750","Zm00001eb070520"
"Zm00001eb410930",NA,NA,NA,"Zm00001eb187850","Zm00001eb070520","Zm00001eb323030","Zm00001eb316940","Zm00001eb196200","Zm00001eb308810","Zm00001eb196500"
"Zm00001eb154820",NA,NA,NA,"Zm00001eb323030","Zm00001eb196500","Zm00001eb339870","Zm00001eb195600","Zm00001eb188240","Zm00001eb294460","Zm00001eb045010"
"Zm00001eb324090",NA,NA,NA,"Zm00001eb339870","Zm00001eb045010","Zm00001eb192880","Zm00001eb028900","Zm00001eb377880","Zm00001eb189900","Zm00001eb063230"
"Zm00001eb113350",NA,NA,NA,"Zm00001eb192880","Zm00001eb063230","Zm00001eb381600","Zm00001eb193960","Zm00001eb316940","Zm00001eb196880","Zm00001eb074680"
"Zm00001eb276670",NA,NA,NA,"Zm00001eb381600","Zm00001eb074680","Zm00001eb070520","Zm00001eb083520","Zm00001eb195600","Zm00001eb191990","Zm00001eb245520"
"Zm00001eb165900",NA,NA,NA,"Zm00001eb070520","Zm00001eb245520","Zm00001eb153190","Zm00001eb262970","Zm00001eb028900","Zm00001eb401970","Zm00001eb191260"
"Zm00001eb033390",NA,NA,NA,"Zm00001eb196500","Zm00001eb197120","Zm00001eb196500","Zm00001eb170050","Zm00001eb193960","Zm00001eb193970","Zm00001eb426560"
"Zm00001eb308470",NA,NA,NA,"Zm00001eb363310","Zm00001eb191260","Zm00001eb363310","Zm00001eb275670","Zm00001eb083520","Zm00001eb294450","Zm00001eb044390"
"Zm00001eb331940",NA,NA,NA,"Zm00001eb344100","Zm00001eb192840","Zm00001eb344100","Zm00001eb010140","Zm00001eb262970","Zm00001eb260630","Zm00001eb019880"
"Zm00001eb001950",NA,NA,NA,"Zm00001eb045010","Zm00001eb190360","Zm00001eb045010","Zm00001eb196240","Zm00001eb170050","Zm00001eb189920","Zm00001eb245810"
"Zm00001eb324240",NA,NA,NA,"Zm00001eb063230","Zm00001eb123230","Zm00001eb063230","Zm00001eb193130","Zm00001eb275670","Zm00001eb196100","Zm00001eb386670"
"Zm00001eb209990",NA,NA,NA,"Zm00001eb074680","Zm00001eb426560","Zm00001eb074680","Zm00001eb330710","Zm00001eb010140","Zm00001eb098650","Zm00001eb160550"
"Zm00001eb432580",NA,NA,NA,"Zm00001eb245520","Zm00001eb044390","Zm00001eb245520","Zm00001eb033540","Zm00001eb186770","Zm00001eb157810","Zm00001eb282060"
"Zm00001eb364690",NA,NA,NA,"Zm00001eb386660","Zm00001eb019880","Zm00001eb386660","Zm00001eb070810","Zm00001eb196240","Zm00001eb192330","Zm00001eb099430"
"Zm00001eb233820",NA,NA,NA,"Zm00001eb197120","Zm00001eb245810","Zm00001eb140840","Zm00001eb299250","Zm00001eb193130","Zm00001eb196920","Zm00001eb280120"
"Zm00001eb076680",NA,NA,NA,"Zm00001eb140840","Zm00001eb386670","Zm00001eb191260","Zm00001eb384970","Zm00001eb330710","Zm00001eb028910","Zm00001eb195120"
"Zm00001eb051500",NA,NA,NA,"Zm00001eb191260","Zm00001eb160550","Zm00001eb192840","Zm00001eb419170","Zm00001eb033540","Zm00001eb196200","Zm00001eb029530"
"Zm00001eb111980",NA,NA,NA,"Zm00001eb190360","Zm00001eb196630","Zm00001eb123230","Zm00001eb442380","Zm00001eb070810","Zm00001eb188240","Zm00001eb034810"
"Zm00001eb161860",NA,NA,NA,"Zm00001eb426560","Zm00001eb282060","Zm00001eb426560","Zm00001eb159000","Zm00001eb299250","Zm00001eb194380","Zm00001eb063530"
"Zm00001eb106070",NA,NA,NA,"Zm00001eb044390","Zm00001eb099430","Zm00001eb044390","Zm00001eb038740","Zm00001eb078590","Zm00001eb112470","Zm00001eb007180"
"Zm00001eb238170",NA,NA,NA,"Zm00001eb019880","Zm00001eb280120","Zm00001eb019880","Zm00001eb203660","Zm00001eb384970","Zm00001eb377880","Zm00001eb077270"
"Zm00001eb114160",NA,NA,NA,"Zm00001eb245810","Zm00001eb195120","Zm00001eb245810","Zm00001eb190030","Zm00001eb419170","Zm00001eb316940","Zm00001eb317690"
"Zm00001eb145950",NA,NA,NA,"Zm00001eb385020","Zm00001eb029530","Zm00001eb385020","Zm00001eb119610","Zm00001eb442380","Zm00001eb189640","Zm00001eb057040"
"Zm00001eb245970",NA,NA,NA,"Zm00001eb386670","Zm00001eb034810","Zm00001eb386670","Zm00001eb425270","Zm00001eb159000","Zm00001eb195600","Zm00001eb145080"
"Zm00001eb007500",NA,NA,NA,"Zm00001eb205840","Zm00001eb063530","Zm00001eb205840","Zm00001eb189440","Zm00001eb126380","Zm00001eb276970","Zm00001eb050070"
"Zm00001eb213770",NA,NA,NA,"Zm00001eb160550","Zm00001eb192250","Zm00001eb160550","Zm00001eb419990","Zm00001eb038740","Zm00001eb028900","Zm00001eb061140"
"Zm00001eb026680",NA,NA,NA,"Zm00001eb282060","Zm00001eb007180","Zm00001eb196630","Zm00001eb187850","Zm00001eb203660","Zm00001eb189700","Zm00001eb196170"
"Zm00001eb044650",NA,NA,NA,"Zm00001eb099430","Zm00001eb077270","Zm00001eb282060","Zm00001eb323030","Zm00001eb190030","Zm00001eb195790","Zm00001eb142650"
"Zm00001eb021800",NA,NA,NA,"Zm00001eb280120","Zm00001eb317690","Zm00001eb099430","Zm00001eb339870","Zm00001eb119610","Zm00001eb193960","Zm00001eb374080"
"Zm00001eb122960",NA,NA,NA,"Zm00001eb405630","Zm00001eb057040","Zm00001eb280120","Zm00001eb188310","Zm00001eb425270","Zm00001eb186860","Zm00001eb151650"
"Zm00001eb247720",NA,NA,NA,"Zm00001eb124270","Zm00001eb145080","Zm00001eb405630","Zm00001eb192880","Zm00001eb189440","Zm00001eb192580","Zm00001eb112560"
"Zm00001eb136230",NA,NA,NA,"Zm00001eb195120","Zm00001eb050070","Zm00001eb124270","Zm00001eb214780","Zm00001eb419990","Zm00001eb083520","Zm00001eb190580"
"Zm00001eb265960",NA,NA,NA,"Zm00001eb029530","Zm00001eb305330","Zm00001eb195120","Zm00001eb381600","Zm00001eb187850","Zm00001eb262970","Zm00001eb334540"
"Zm00001eb102880",NA,NA,NA,"Zm00001eb034810","Zm00001eb252460","Zm00001eb029530","Zm00001eb188990","Zm00001eb323030","Zm00001eb170050","Zm00001eb336190"
"Zm00001eb008170",NA,NA,NA,"Zm00001eb063530","Zm00001eb061140","Zm00001eb034810","Zm00001eb195080","Zm00001eb339870","Zm00001eb275670","Zm00001eb270940"
"Zm00001eb127020",NA,NA,NA,"Zm00001eb007180","Zm00001eb196170","Zm00001eb063530","Zm00001eb070520","Zm00001eb203790","Zm00001eb010140","Zm00001eb154650"
"Zm00001eb144290",NA,NA,NA,"Zm00001eb077270","Zm00001eb142650","Zm00001eb192250","Zm00001eb187030","Zm00001eb188310","Zm00001eb196240","Zm00001eb053860"
NA,NA,NA,NA,"Zm00001eb293080","Zm00001eb374080","Zm00001eb007180","Zm00001eb196500","Zm00001eb192880","Zm00001eb193130","Zm00001eb188340"
NA,NA,NA,NA,"Zm00001eb264210","Zm00001eb151650","Zm00001eb077270","Zm00001eb045010","Zm00001eb214780","Zm00001eb330710","Zm00001eb396480"
NA,NA,NA,NA,"Zm00001eb317690","Zm00001eb112560","Zm00001eb293080","Zm00001eb063230","Zm00001eb381600","Zm00001eb033540","Zm00001eb188330"
NA,NA,NA,NA,"Zm00001eb057040","Zm00001eb190580","Zm00001eb008080","Zm00001eb024970","Zm00001eb188990","Zm00001eb000540","Zm00001eb268950"
NA,NA,NA,NA,"Zm00001eb145080","Zm00001eb334540","Zm00001eb317690","Zm00001eb074680","Zm00001eb279680","Zm00001eb070810","Zm00001eb302280"
NA,NA,NA,NA,"Zm00001eb050070","Zm00001eb336190","Zm00001eb057040","Zm00001eb245520","Zm00001eb195080","Zm00001eb299250","Zm00001eb139920"
NA,NA,NA,NA,"Zm00001eb061140","Zm00001eb270940","Zm00001eb353250","Zm00001eb197120","Zm00001eb070520","Zm00001eb384970","Zm00001eb370590"
NA,NA,NA,NA,"Zm00001eb196170","Zm00001eb154650","Zm00001eb145080","Zm00001eb191260","Zm00001eb187030","Zm00001eb419170","Zm00001eb350770"
NA,NA,NA,NA,"Zm00001eb142650","Zm00001eb053860","Zm00001eb050070","Zm00001eb192170","Zm00001eb196500","Zm00001eb442380","Zm00001eb160210"
NA,NA,NA,NA,"Zm00001eb374080","Zm00001eb188340","Zm00001eb252460","Zm00001eb190360","Zm00001eb363310","Zm00001eb159000","Zm00001eb189950"
NA,NA,NA,NA,"Zm00001eb356550","Zm00001eb396480","Zm00001eb061140","Zm00001eb426560","Zm00001eb344100","Zm00001eb038740","Zm00001eb395620"
NA,NA,NA,NA,"Zm00001eb379420","Zm00001eb357300","Zm00001eb196170","Zm00001eb044390","Zm00001eb045010","Zm00001eb203660","Zm00001eb298570"
NA,NA,NA,NA,"Zm00001eb083210","Zm00001eb188330","Zm00001eb142650","Zm00001eb188570","Zm00001eb063230","Zm00001eb190030","Zm00001eb121420"
NA,NA,NA,NA,"Zm00001eb006830","Zm00001eb268950","Zm00001eb374080","Zm00001eb019880","Zm00001eb042320","Zm00001eb119610","Zm00001eb167100"
NA,NA,NA,NA,"Zm00001eb151650","Zm00001eb302280","Zm00001eb356550","Zm00001eb191320","Zm00001eb024970","Zm00001eb425270","Zm00001eb270830"
NA,NA,NA,NA,"Zm00001eb112560","Zm00001eb139920","Zm00001eb379420","Zm00001eb245810","Zm00001eb074680","Zm00001eb189440","Zm00001eb278650"
NA,NA,NA,NA,"Zm00001eb346280","Zm00001eb370590","Zm00001eb083210","Zm00001eb386670","Zm00001eb245520","Zm00001eb419990","Zm00001eb146910"
NA,NA,NA,NA,"Zm00001eb190580","Zm00001eb350770","Zm00001eb006830","Zm00001eb192180","Zm00001eb386660","Zm00001eb187850","Zm00001eb407630"
NA,NA,NA,NA,"Zm00001eb178840","Zm00001eb160210","Zm00001eb151650","Zm00001eb160550","Zm00001eb140840","Zm00001eb323030","Zm00001eb394170"
NA,NA,NA,NA,"Zm00001eb411460","Zm00001eb189950","Zm00001eb112560","Zm00001eb129670","Zm00001eb191260","Zm00001eb339870","Zm00001eb383780"
NA,NA,NA,NA,"Zm00001eb334540","Zm00001eb395620","Zm00001eb346280","Zm00001eb282060","Zm00001eb192170","Zm00001eb188310","Zm00001eb370370"
NA,NA,NA,NA,"Zm00001eb336190","Zm00001eb298570","Zm00001eb190580","Zm00001eb099430","Zm00001eb426560","Zm00001eb192880","Zm00001eb040890"
NA,NA,NA,NA,"Zm00001eb270940","Zm00001eb121420","Zm00001eb178840","Zm00001eb280120","Zm00001eb044390","Zm00001eb214780","Zm00001eb131440"
NA,NA,NA,NA,"Zm00001eb154650","Zm00001eb167100","Zm00001eb411460","Zm00001eb226580","Zm00001eb188570","Zm00001eb381600","Zm00001eb126790"
NA,NA,NA,NA,"Zm00001eb053860","Zm00001eb270830","Zm00001eb334540","Zm00001eb126050","Zm00001eb019880","Zm00001eb186610","Zm00001eb383310"
NA,NA,NA,NA,"Zm00001eb188340","Zm00001eb278650","Zm00001eb317430","Zm00001eb195120","Zm00001eb191320","Zm00001eb188990","Zm00001eb170060"
NA,NA,NA,NA,"Zm00001eb396480","Zm00001eb146910","Zm00001eb336190","Zm00001eb029530","Zm00001eb245810","Zm00001eb195080","Zm00001eb388220"
NA,NA,NA,NA,"Zm00001eb188330","Zm00001eb339420","Zm00001eb270940","Zm00001eb034810","Zm00001eb385020","Zm00001eb070520","Zm00001eb148020"
NA,NA,NA,NA,"Zm00001eb268950","Zm00001eb407630","Zm00001eb154650","Zm00001eb192360","Zm00001eb386670","Zm00001eb187030","Zm00001eb064450"
NA,NA,NA,NA,"Zm00001eb302280","Zm00001eb394170","Zm00001eb053860","Zm00001eb063530","Zm00001eb205840","Zm00001eb196500","Zm00001eb009430"
NA,NA,NA,NA,"Zm00001eb139920","Zm00001eb383780","Zm00001eb188340","Zm00001eb189390","Zm00001eb192180","Zm00001eb045010","Zm00001eb082370"
NA,NA,NA,NA,"Zm00001eb001020","Zm00001eb370370","Zm00001eb396480","Zm00001eb007180","Zm00001eb160550","Zm00001eb063230","Zm00001eb340190"
NA,NA,NA,NA,"Zm00001eb302350","Zm00001eb040890","Zm00001eb357300","Zm00001eb077270","Zm00001eb129670","Zm00001eb024970","Zm00001eb292240"
NA,NA,NA,NA,"Zm00001eb370590","Zm00001eb131440","Zm00001eb188330","Zm00001eb317690","Zm00001eb282060","Zm00001eb074680","Zm00001eb068310"
NA,NA,NA,NA,"Zm00001eb350770","Zm00001eb126790","Zm00001eb268950","Zm00001eb057040","Zm00001eb099430","Zm00001eb245520","Zm00001eb344870"
NA,NA,NA,NA,"Zm00001eb160210","Zm00001eb383310","Zm00001eb302280","Zm00001eb197370","Zm00001eb280120","Zm00001eb191260","Zm00001eb106370"
NA,NA,NA,NA,"Zm00001eb189950","Zm00001eb170060","Zm00001eb139920","Zm00001eb145080","Zm00001eb116130","Zm00001eb192170","Zm00001eb426550"
NA,NA,NA,NA,"Zm00001eb395620","Zm00001eb388220","Zm00001eb001020","Zm00001eb191430","Zm00001eb405630","Zm00001eb192840","Zm00001eb056990"
NA,NA,NA,NA,"Zm00001eb298570","Zm00001eb148020","Zm00001eb302350","Zm00001eb050070","Zm00001eb126050","Zm00001eb123230","Zm00001eb410260"
NA,NA,NA,NA,"Zm00001eb121420","Zm00001eb064450","Zm00001eb370590","Zm00001eb061140","Zm00001eb124270","Zm00001eb426560","Zm00001eb212520"
NA,NA,NA,NA,"Zm00001eb167100","Zm00001eb009430","Zm00001eb350770","Zm00001eb196170","Zm00001eb195120","Zm00001eb044390","Zm00001eb058550"
NA,NA,NA,NA,"Zm00001eb270830","Zm00001eb082370","Zm00001eb160210","Zm00001eb076470","Zm00001eb029530","Zm00001eb188570","Zm00001eb230820"
NA,NA,NA,NA,"Zm00001eb278650","Zm00001eb340190","Zm00001eb189950","Zm00001eb142650","Zm00001eb034810","Zm00001eb196900","Zm00001eb154620"
NA,NA,NA,NA,"Zm00001eb124420","Zm00001eb292240","Zm00001eb395620","Zm00001eb374080","Zm00001eb323220","Zm00001eb019880","Zm00001eb204350"
NA,NA,NA,NA,"Zm00001eb146910","Zm00001eb068310","Zm00001eb298570","Zm00001eb151650","Zm00001eb192360","Zm00001eb191320","Zm00001eb415960"
NA,NA,NA,NA,"Zm00001eb407630","Zm00001eb344870","Zm00001eb121420","Zm00001eb112560","Zm00001eb433900","Zm00001eb245810","Zm00001eb127040"
NA,NA,NA,NA,"Zm00001eb394170","Zm00001eb106370","Zm00001eb167100","Zm00001eb367710","Zm00001eb063530","Zm00001eb386670","Zm00001eb424280"
NA,NA,NA,NA,"Zm00001eb383780","Zm00001eb426550","Zm00001eb270830","Zm00001eb190580","Zm00001eb189390","Zm00001eb048840","Zm00001eb193820"
NA,NA,NA,NA,"Zm00001eb370370","Zm00001eb056990","Zm00001eb278650","Zm00001eb334540","Zm00001eb007180","Zm00001eb192180","Zm00001eb193660"
NA,NA,NA,NA,"Zm00001eb040890","Zm00001eb410260","Zm00001eb124420","Zm00001eb336190","Zm00001eb077270","Zm00001eb160550","Zm00001eb191350"
NA,NA,NA,NA,"Zm00001eb131440","Zm00001eb212520","Zm00001eb146910","Zm00001eb270940","Zm00001eb293080","Zm00001eb129670","Zm00001eb198730"
NA,NA,NA,NA,"Zm00001eb126790","Zm00001eb058550","Zm00001eb407630","Zm00001eb154650","Zm00001eb317690","Zm00001eb196630","Zm00001eb144680"
NA,NA,NA,NA,"Zm00001eb383310","Zm00001eb230820","Zm00001eb394170","Zm00001eb053860","Zm00001eb057040","Zm00001eb282060","Zm00001eb255120"
NA,NA,NA,NA,"Zm00001eb170060","Zm00001eb154620","Zm00001eb383780","Zm00001eb188340","Zm00001eb197370","Zm00001eb099430","Zm00001eb162770"
NA,NA,NA,NA,"Zm00001eb388220","Zm00001eb204350","Zm00001eb370370","Zm00001eb396480","Zm00001eb145080","Zm00001eb280120","Zm00001eb426540"
NA,NA,NA,NA,"Zm00001eb267120","Zm00001eb415960","Zm00001eb040890","Zm00001eb188330","Zm00001eb191430","Zm00001eb186980","Zm00001eb334730"
NA,NA,NA,NA,"Zm00001eb148020","Zm00001eb127040","Zm00001eb131440","Zm00001eb268950","Zm00001eb050070","Zm00001eb126050","Zm00001eb048410"
NA,NA,NA,NA,"Zm00001eb064450","Zm00001eb424280","Zm00001eb126790","Zm00001eb309420","Zm00001eb061140","Zm00001eb195120","Zm00001eb342980"
NA,NA,NA,NA,"Zm00001eb009430","Zm00001eb193820","Zm00001eb383310","Zm00001eb100020","Zm00001eb196170","Zm00001eb029530","Zm00001eb042530"
NA,NA,NA,NA,"Zm00001eb082370","Zm00001eb193660","Zm00001eb170060","Zm00001eb302280","Zm00001eb076470","Zm00001eb034810","Zm00001eb199980"
NA,NA,NA,NA,"Zm00001eb340190","Zm00001eb191350","Zm00001eb388220","Zm00001eb139920","Zm00001eb142650","Zm00001eb192360","Zm00001eb183910"
NA,NA,NA,NA,"Zm00001eb292240","Zm00001eb198730","Zm00001eb267120","Zm00001eb370590","Zm00001eb374080","Zm00001eb063530","Zm00001eb358700"
NA,NA,NA,NA,"Zm00001eb068310","Zm00001eb144680","Zm00001eb148020","Zm00001eb350770","Zm00001eb356550","Zm00001eb194200","Zm00001eb191140"
NA,NA,NA,NA,"Zm00001eb344870","Zm00001eb255120","Zm00001eb064450","Zm00001eb160210","Zm00001eb379420","Zm00001eb192250","Zm00001eb124790"
NA,NA,NA,NA,"Zm00001eb225390","Zm00001eb162770","Zm00001eb009430","Zm00001eb189950","Zm00001eb083210","Zm00001eb189390","Zm00001eb417630"
NA,NA,NA,NA,"Zm00001eb168170","Zm00001eb426540","Zm00001eb421270","Zm00001eb395620","Zm00001eb006830","Zm00001eb007180","Zm00001eb099170"
NA,NA,NA,NA,"Zm00001eb106370","Zm00001eb334730","Zm00001eb082370","Zm00001eb298570","Zm00001eb151650","Zm00001eb077270","Zm00001eb116580"
NA,NA,NA,NA,"Zm00001eb426550","Zm00001eb048410","Zm00001eb340190","Zm00001eb121420","Zm00001eb316070","Zm00001eb317690","Zm00001eb389750"
NA,NA,NA,NA,"Zm00001eb360230","Zm00001eb342980","Zm00001eb292240","Zm00001eb167100","Zm00001eb112560","Zm00001eb057040","Zm00001eb322790"
NA,NA,NA,NA,"Zm00001eb056990","Zm00001eb042530","Zm00001eb068310","Zm00001eb270830","Zm00001eb346280","Zm00001eb197370","Zm00001eb402590"
