gene,p-value,R-squared,p.valor_beta0,p.valor_MICH_noPvsB73_noP,p.valor_Time,p.valor_TimexMICH_noP,p.valor_Time2,p.valor_Time2xMICH_noP,p.valor_Time3,p.valor_Time3xMICH_noP
Zm00001eb006880,4.83E-07,0.680326252,1.98E-15,NA,NA,NA,0.000113545,NA,NA,0.022643882
Zm00001eb007170,7.51E-08,0.680953543,3.07E-12,0.001822354,0.032461845,NA,0.00759129,NA,NA,NA
Zm00001eb007180,2.25E-06,0.626514383,1.17E-16,0.030412561,NA,NA,0.000427424,NA,NA,NA
Zm00001eb007310,1.77E-43,0.944300533,1.32E-10,0.014030721,NA,0.010183359,0.00097732,0.007452361,0.005021132,0.006699483
Zm00001eb007470,3.04E-07,0.651452854,3.31E-12,NA,NA,NA,NA,0.023578885,0.000208919,0.009723186
Zm00001eb007490,7.75E-10,0.690413144,2.74E-21,NA,1.03E-05,NA,NA,NA,NA,NA
Zm00001eb007500,1.95E-09,0.742905622,3.34E-13,NA,0.001447195,NA,NA,NA,0.047557861,NA
Zm00001eb007510,9.53E-07,0.663328969,5.73E-13,0.040653489,0.001116256,NA,0.003048153,NA,NA,NA
Zm00001eb007650,3.75E-09,0.765533862,2.55E-14,NA,NA,NA,0.000942606,NA,0.006631425,0.009354365
Zm00001eb007900,4.53E-08,0.705905578,6.86E-09,NA,NA,NA,0.001078601,NA,NA,NA
Zm00001eb008070,3.63E-07,0.674943375,1.43E-14,NA,NA,0.038153007,0.00685369,NA,0.033261864,NA
Zm00001eb008080,2.99E-09,0.675487839,4.29E-22,NA,NA,NA,1.31E-05,NA,NA,NA
Zm00001eb008170,5.44E-16,0.810789237,1.18E-15,NA,0.000715932,NA,0.011082815,NA,NA,NA
Zm00001eb008200,5.18E-09,0.621516541,0.003386524,NA,6.45E-06,NA,NA,NA,NA,NA
Zm00001eb008250,1.12E-07,0.713323507,9.59E-07,0.01531931,NA,0.016156564,0.04368006,NA,NA,0.042680615
Zm00001eb008290,3.97E-08,0.655933895,1.74E-07,NA,NA,NA,0.004649839,NA,0.023493394,NA
Zm00001eb008500,5.81E-10,0.776818465,2.67E-06,0.017890844,NA,0.007541372,0.012501668,0.004300887,NA,0.00280418
Zm00001eb008810,2.66E-07,0.699899636,1.94E-18,NA,3.47E-05,NA,NA,NA,NA,0.015699417
Zm00001eb008880,1.62E-08,0.661713348,1.96E-13,NA,1.55E-05,NA,NA,NA,NA,NA
Zm00001eb008910,1.57E-07,0.675125886,1.17E-16,NA,0.026319238,NA,0.002647884,0.014100046,NA,NA
Zm00001eb008970,1.18E-11,0.781757233,NA,NA,NA,NA,0.021493362,0.010755666,0.048521289,0.017136826
Zm00001eb009140,6.82E-12,0.754582953,4.50E-17,NA,NA,NA,0.000592981,NA,0.004227627,NA
Zm00001eb009240,8.67E-05,0.616825879,9.19E-20,0.004399542,NA,0.004133279,0.008734336,0.015259336,NA,NA
Zm00001eb009310,2.42E-06,0.630208179,4.68E-10,NA,0.004073519,NA,0.02179011,NA,NA,NA
Zm00001eb009400,8.69E-32,0.821441856,1.61E-09,NA,NA,NA,1.20E-05,NA,7.32E-06,0.001567402
Zm00001eb009430,1.28E-14,0.806965442,2.98E-13,NA,NA,NA,0.002121918,0.012993224,0.028535456,NA
Zm00001eb009490,2.87E-05,0.642240738,1.13E-10,0.017620711,0.045554915,0.009774008,NA,0.011648169,NA,NA
Zm00001eb009550,1.40E-08,0.686433196,4.57E-16,0.040985116,NA,NA,0.010240826,NA,0.042993638,NA
Zm00001eb009600,1.64E-16,0.801565687,8.25E-20,0.039333625,NA,NA,5.08E-07,NA,NA,NA
Zm00001eb009660,1.43E-05,0.644999307,4.26E-13,NA,NA,0.013119232,0.000884409,0.007774369,NA,0.0085404
Zm00001eb009710,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb009840,1.84E-16,0.796634208,0.03708921,NA,0.015022761,0.000991148,0.0457144,NA,NA,NA
Zm00001eb009890,2.04E-10,0.717687136,1.83E-20,NA,NA,NA,4.06E-05,NA,0.000152657,NA
Zm00001eb009980,5.63E-10,0.724882104,3.64E-16,NA,NA,NA,0.0013007,NA,0.00752121,NA
Zm00001eb010010,1.54E-06,0.62353227,5.14E-14,NA,NA,NA,0.001401757,NA,0.004458248,NA
Zm00001eb010140,2.51E-09,0.733291294,2.60E-12,0.001874217,NA,0.005566971,0.003928183,0.01024109,NA,NA
Zm00001eb010150,1.79E-07,0.688388361,5.85E-15,NA,NA,NA,0.001495013,0.030719486,0.008038875,NA
Zm00001eb010230,8.02E-07,0.630891206,1.20E-16,NA,NA,NA,0.006305358,NA,0.025634741,NA
Zm00001eb010340,3.64E-17,0.818284822,3.03E-10,NA,4.79E-07,NA,3.18E-06,NA,NA,NA
Zm00001eb010410,7.07E-07,0.60602006,8.30E-22,NA,NA,NA,0.000107571,NA,NA,NA
Zm00001eb010450,7.82E-07,0.684561333,0.018470614,0.008418381,0.011309033,0.004848991,0.012610579,0.004238588,NA,NA
Zm00001eb010480,1.03E-07,0.654813854,3.50E-12,NA,NA,NA,0.001709488,NA,0.007638187,NA
Zm00001eb010530,8.25E-06,0.619226865,0.010334721,NA,NA,NA,0.002118898,NA,0.006195879,NA
Zm00001eb010540,1.11E-05,0.614477691,1.58E-16,NA,NA,NA,0.005790739,0.010004724,NA,0.026402078
Zm00001eb010560,4.30E-12,0.772808225,2.69E-12,NA,0.003136091,NA,0.032538399,NA,NA,NA
Zm00001eb010730,3.30E-06,0.606889217,1.23E-14,NA,NA,NA,0.006609176,NA,0.024406185,NA
Zm00001eb010740,1.25E-09,0.719110509,2.07E-19,NA,NA,NA,0.000746342,NA,0.003754247,NA
Zm00001eb010770,1.22E-06,0.661302551,2.44E-23,NA,NA,NA,3.99E-05,0.00163168,NA,NA
Zm00001eb010850,0.006766135,0.610234863,0.014186174,0.013640363,0.020403396,0.01512299,0.019408165,0.016406608,0.018138914,0.018579119
Zm00001eb011070,4.51E-06,0.61018929,3.86E-22,NA,NA,NA,0.000458909,NA,0.001044308,NA
Zm00001eb011140,1.81E-05,0.625143663,6.35E-17,NA,NA,0.022349837,0.000293901,NA,NA,NA
Zm00001eb011220,2.82E-13,0.744920581,7.92E-12,NA,NA,NA,6.05E-06,0.016011644,NA,NA
Zm00001eb011240,9.69E-09,0.678419285,2.52E-12,NA,NA,NA,0.004535997,NA,0.023650356,NA
Zm00001eb011250,6.60E-12,0.733328299,2.04E-05,NA,NA,NA,0.000436172,NA,0.002658516,NA
Zm00001eb011310,9.82E-07,0.623487985,2.02E-12,NA,0.000257415,NA,NA,NA,0.003058169,NA
Zm00001eb011330,1.77E-05,0.683720434,0.037156937,NA,NA,NA,0.015119047,NA,NA,NA
Zm00001eb011440,4.69E-08,0.627795581,NA,NA,9.00E-05,0.028905334,NA,NA,NA,NA
Zm00001eb011560,4.20E-11,0.776607814,NA,NA,NA,NA,0.000380201,NA,0.001549054,NA
Zm00001eb011610,9.66E-07,0.665874912,4.67E-14,NA,5.52E-05,NA,NA,NA,NA,0.044928727
Zm00001eb011650,8.30E-07,0.622482785,2.42E-13,NA,0.000786152,NA,NA,NA,0.015455374,NA
Zm00001eb011680,1.40E-08,0.648035267,2.09E-11,NA,NA,NA,8.09E-05,NA,NA,NA
Zm00001eb011750,1.20E-10,0.750620977,7.80E-16,NA,NA,NA,8.00E-06,0.005100233,NA,NA
Zm00001eb011760,2.12E-11,0.721846621,5.02E-28,NA,NA,NA,2.72E-06,NA,NA,NA
Zm00001eb011880,1.23E-09,0.725306826,5.40E-13,NA,0.001292163,NA,0.012148409,NA,NA,NA
Zm00001eb011900,7.28E-12,0.761006634,9.84E-13,NA,0.00023256,NA,0.002663463,NA,NA,NA
Zm00001eb011920,3.74E-07,0.683978147,0.000216447,NA,0.016819991,NA,0.015782838,0.008130352,0.021547163,NA
Zm00001eb011940,2.55E-10,0.731529484,6.69E-25,NA,4.56E-06,0.026503889,NA,NA,NA,NA
Zm00001eb012130,2.44E-06,0.670910633,2.87E-18,0.022592062,0.001870111,0.009476113,NA,0.01880854,NA,NA
Zm00001eb012180,5.18E-06,0.655847361,2.40E-14,NA,NA,NA,0.009082746,0.02090963,0.039763618,NA
Zm00001eb012310,3.72E-09,0.705385493,4.94E-20,NA,NA,NA,2.25E-05,0.043822712,NA,NA
Zm00001eb012340,3.32E-12,0.749309849,1.15E-17,NA,NA,NA,0.000418865,NA,0.0030248,NA
Zm00001eb012560,1.07E-10,0.793788403,4.01E-14,NA,NA,NA,0.002204069,0.010829485,0.011540607,0.035894073
Zm00001eb012620,4.74E-10,0.769568097,0.007367618,NA,0.004110852,0.034768417,0.002144696,0.017260584,0.001771512,0.015306305
Zm00001eb012750,2.16E-30,0.898695258,5.25E-25,NA,3.75E-09,NA,NA,0.003213214,NA,NA
Zm00001eb012790,8.19E-09,0.695492692,5.25E-13,NA,0.005686166,NA,0.049263598,NA,NA,NA
Zm00001eb012800,3.13E-10,0.723207849,3.51E-15,NA,NA,NA,0.000241086,NA,0.001237,NA
Zm00001eb012910,1.66E-08,0.64215022,2.94E-11,NA,NA,NA,0.000205976,NA,0.000881286,NA
Zm00001eb013030,0.000173755,0.601364422,1.63E-21,0.002345058,NA,0.004003212,0.009825288,0.011270524,NA,NA
Zm00001eb013070,2.45E-05,0.601795833,0.004774065,NA,0.000972654,NA,NA,NA,NA,0.04738016
Zm00001eb013100,4.57E-07,0.692761222,3.22E-13,NA,4.14E-05,0.032100057,NA,NA,NA,NA
Zm00001eb013110,1.01E-07,0.622991048,2.38E-23,NA,5.13E-05,NA,NA,NA,NA,NA
Zm00001eb013120,3.29E-05,0.610951489,1.84E-16,NA,NA,NA,0.000455912,0.023163264,NA,NA
Zm00001eb013140,2.51E-07,0.624951346,1.95E-08,NA,0.000218625,NA,0.001003866,NA,NA,NA
Zm00001eb013150,2.01E-15,0.827072113,5.94E-11,0.002914074,NA,NA,0.005301623,NA,0.038262367,NA
Zm00001eb013230,7.51E-06,0.607453005,5.54E-19,NA,NA,NA,0.000184774,0.03458736,NA,NA
Zm00001eb013340,7.52E-09,0.658976042,8.23E-23,NA,2.74E-05,NA,NA,NA,NA,NA
Zm00001eb013370,2.36E-09,0.733249583,6.26E-23,NA,NA,NA,0.000221568,0.01125468,NA,0.049916616
Zm00001eb013380,6.46E-06,0.618613795,2.56E-05,NA,NA,NA,0.004737168,NA,0.008838854,NA
Zm00001eb013430,4.89E-28,0.812001392,0.010653202,0.016023288,NA,NA,NA,NA,1.62E-06,8.77E-05
Zm00001eb013450,7.05E-08,0.707848004,2.78E-18,NA,NA,0.012358585,0.000446398,NA,0.001632523,NA
Zm00001eb013610,1.68E-07,0.612814529,7.64E-24,NA,NA,NA,4.53E-05,NA,NA,NA
Zm00001eb013670,5.76E-06,0.730061944,0.000561187,NA,NA,0.006208859,0.013145317,0.020575133,0.020980286,0.042484807
Zm00001eb013740,6.29E-10,0.708167401,2.68E-14,NA,NA,NA,0.001217154,NA,0.007365573,NA
Zm00001eb013780,2.29E-08,0.67948314,2.59E-15,NA,NA,NA,0.000822084,NA,0.00371541,NA
Zm00001eb014190,1.73E-10,0.705876789,0.00018997,NA,4.55E-05,NA,0.000315266,NA,NA,NA
Zm00001eb014490,9.21E-23,0.864399613,4.10E-18,NA,NA,NA,0.000793924,0.002299616,0.024735785,NA
Zm00001eb014740,2.10E-07,0.650267725,8.58E-15,NA,0.000265301,NA,0.00114951,NA,NA,NA
Zm00001eb014750,7.83E-07,0.604305242,2.36E-12,NA,0.001732131,NA,0.009628652,NA,NA,NA
Zm00001eb014830,3.24E-07,0.689311289,5.06E-13,NA,3.29E-05,NA,NA,NA,NA,0.020182838
Zm00001eb014860,1.63E-06,0.663428088,NA,0.004873751,0.001440679,0.006061638,NA,0.006164622,NA,0.005640906
Zm00001eb014930,5.94E-08,0.64845281,0.000369223,NA,2.03E-05,NA,NA,NA,NA,NA
Zm00001eb015070,5.20E-06,0.644916147,2.88E-16,NA,0.000441771,NA,0.00020255,0.041411723,NA,NA
Zm00001eb015100,1.44E-05,0.62415496,1.02E-06,0.029710847,NA,0.021480535,0.009698941,0.019193494,NA,0.01913738
Zm00001eb015130,5.92E-20,0.854331831,5.12E-10,NA,4.88E-07,NA,6.02E-06,NA,NA,NA
Zm00001eb015150,1.08E-06,0.622394382,7.36E-13,NA,0.003840734,NA,0.021880137,NA,NA,NA
Zm00001eb015160,1.78E-08,0.646018581,NA,NA,NA,NA,0.003481525,NA,0.012108212,NA
Zm00001eb015220,1.72E-08,0.648275642,4.44E-21,NA,2.39E-05,NA,NA,NA,NA,NA
Zm00001eb015240,1.57E-09,0.733279809,7.70E-19,NA,NA,NA,0.000335807,0.039215371,0.002015651,NA
Zm00001eb015250,5.65E-11,0.723876151,4.52E-23,NA,NA,NA,3.01E-06,NA,NA,NA
Zm00001eb015380,1.16E-06,0.677372835,1.75E-16,NA,NA,0.006290354,0.007134684,NA,0.027851339,NA
Zm00001eb015390,8.40E-11,0.793895051,0.003143864,0.018349328,0.001599452,0.013367406,0.00174425,0.010106225,NA,NA
Zm00001eb015400,2.24E-08,0.618927856,3.46E-15,NA,NA,NA,1.67E-05,NA,NA,NA
Zm00001eb015450,9.51E-09,0.668816873,6.38E-07,NA,0.000911034,NA,0.007221793,NA,NA,NA
Zm00001eb015460,1.30E-06,0.654534782,4.31E-08,0.003171132,NA,0.004631134,NA,0.007573373,0.022831255,NA
Zm00001eb015490,4.15E-11,0.773460759,1.79E-19,NA,NA,NA,0.001730232,NA,0.010115414,NA
Zm00001eb015510,5.06E-11,0.767271218,2.26E-09,NA,NA,NA,0.004213435,NA,0.039042962,0.03838342
Zm00001eb015520,9.78E-09,0.665980605,3.17E-08,NA,NA,NA,0.003376895,NA,0.017043413,NA
Zm00001eb015550,2.31E-09,0.735113273,1.02E-17,0.001710648,NA,NA,0.000140584,NA,0.000399903,NA
Zm00001eb015570,3.89E-07,0.64474566,8.82E-10,NA,NA,NA,0.009315787,NA,0.043523447,NA
Zm00001eb015600,1.92E-06,0.634005157,1.07E-11,NA,NA,0.006752424,0.001043219,NA,0.000737742,NA
Zm00001eb015630,7.52E-20,0.821154171,1.36E-09,NA,NA,NA,1.53E-07,0.028518718,NA,NA
Zm00001eb015790,1.22E-10,0.711925307,1.27E-27,NA,NA,NA,4.39E-06,NA,NA,NA
Zm00001eb015950,1.29E-36,0.911100423,1.76E-22,NA,8.85E-10,0.021907857,NA,NA,NA,NA
Zm00001eb016040,2.42E-11,0.766551754,1.67E-06,NA,NA,NA,0.00503078,NA,0.022628934,NA
Zm00001eb016200,3.69E-74,0.94147591,6.88E-15,NA,1.12E-09,NA,NA,0.007108697,NA,NA
Zm00001eb016250,1.26E-10,0.744077614,2.32E-17,NA,NA,NA,0.005829713,0.01423175,0.049886759,NA
Zm00001eb016410,1.08E-21,0.805051046,6.75E-16,NA,NA,NA,5.70E-08,0.021809539,NA,0.031204711
Zm00001eb016420,4.25E-07,0.774190275,NA,0.009557447,0.006611529,0.013372796,0.013814334,0.014112412,0.025438521,0.015528623
Zm00001eb016740,7.30E-07,0.634253828,3.32E-14,NA,0.000145514,NA,NA,NA,NA,0.005079307
Zm00001eb016830,1.29E-08,0.649939095,4.15E-22,NA,2.28E-05,NA,NA,NA,NA,NA
Zm00001eb016850,7.37E-22,0.853294054,2.15E-19,NA,NA,NA,8.74E-06,NA,0.000100573,NA
Zm00001eb016920,3.80E-18,0.841102221,7.08E-17,NA,NA,NA,0.000379744,NA,0.005025359,NA
Zm00001eb016940,2.22E-12,0.745414375,7.76E-18,NA,NA,NA,0.000119511,NA,0.000763769,NA
Zm00001eb017020,0,0.999999978,5.99E-07,2.72E-06,2.61E-06,9.94E-05,3.83E-05,0.000816475,0.000221545,0.003054445
Zm00001eb017030,1.27E-32,0.908945249,1.83E-08,0.023211667,NA,0.009759888,0.00036862,0.004908395,0.001412419,0.003207285
Zm00001eb017180,1.84E-08,0.651461689,2.50E-24,NA,NA,NA,2.17E-05,NA,NA,NA
Zm00001eb017260,2.86E-06,0.602697066,5.72E-17,NA,NA,NA,0.000427848,0.039257896,NA,NA
Zm00001eb017400,2.51E-08,0.670012641,8.46E-12,NA,NA,NA,0.006825531,NA,0.037591623,NA
Zm00001eb017460,1.08E-05,0.61787317,6.27E-17,NA,0.000158239,NA,NA,NA,NA,0.042510993
Zm00001eb017640,7.40E-09,0.65481305,0.018409476,NA,0.001574843,NA,0.001671961,NA,NA,NA
Zm00001eb017660,6.01E-19,0.830737707,0.004117157,NA,NA,NA,0.000875611,0.006564041,0.012209677,NA
Zm00001eb017670,4.20E-09,0.705408936,NA,NA,1.03E-05,0.026430127,NA,NA,NA,NA
Zm00001eb017730,1.63E-07,0.60683691,3.96E-23,NA,NA,NA,3.86E-05,NA,NA,NA
Zm00001eb017790,5.36E-06,0.731126704,NA,0.016391248,0.012014806,0.021872511,0.026371011,0.024114349,0.043571393,0.025480485
Zm00001eb017800,1.85E-11,0.725841685,4.97E-10,NA,1.19E-05,NA,7.19E-05,NA,NA,NA
Zm00001eb017970,4.67E-08,0.66553608,4.35E-13,NA,0.000681008,NA,0.004261715,NA,NA,NA
Zm00001eb018040,1.88E-07,0.666809686,4.53E-20,NA,NA,0.018973827,7.96E-05,NA,NA,NA
Zm00001eb018110,9.97E-11,0.727808128,0.006273338,NA,0.004835839,0.007086428,0.001219618,NA,NA,NA
Zm00001eb018250,7.38E-08,0.666559332,0.046674978,NA,0.000377058,NA,0.002586287,NA,NA,NA
Zm00001eb018270,1.37E-08,0.663331524,7.27E-11,NA,0.001397839,NA,0.011509018,NA,NA,NA
Zm00001eb018660,1.28E-06,0.646933503,NA,NA,0.001625661,NA,NA,0.021050914,NA,0.014642442
Zm00001eb018850,1.08E-07,0.652971266,1.48E-23,NA,NA,NA,0.000718472,NA,0.002683021,NA
Zm00001eb018860,1.17E-07,0.656768566,1.68E-10,NA,0.000518143,NA,0.002948328,NA,NA,NA
Zm00001eb018870,1.77E-12,0.75700796,0.017392522,NA,5.78E-06,0.015899398,NA,NA,NA,NA
Zm00001eb018900,1.28E-11,0.719281907,9.49E-08,NA,NA,NA,0.000331445,NA,0.002485117,NA
Zm00001eb019030,1.10E-06,0.681566905,1.13E-13,NA,0.038076127,NA,0.004388036,0.025159055,NA,NA
Zm00001eb019090,2.48E-05,0.66992323,8.05E-07,0.037300483,NA,0.036427252,NA,0.033855398,0.004885107,0.027405331
Zm00001eb019160,1.47E-10,0.726869355,7.90E-09,NA,7.75E-05,NA,0.000680632,NA,NA,NA
Zm00001eb019530,2.27E-11,0.79275146,1.19E-15,0.045983736,NA,NA,0.003512052,NA,0.020463056,NA
Zm00001eb019570,2.14E-10,0.681776223,1.94E-07,0.00563296,NA,NA,0.005037928,NA,0.027884452,NA
Zm00001eb019580,1.44E-11,0.739195703,9.58E-11,NA,NA,NA,0.000402705,0.03037445,0.004180429,NA
Zm00001eb019680,4.71E-08,0.678955013,0.0002375,NA,3.95E-05,NA,NA,0.005822022,NA,NA
Zm00001eb019720,2.25E-09,0.70398383,3.90E-26,NA,NA,0.013406102,6.24E-06,NA,NA,NA
Zm00001eb019840,4.21E-07,0.649373703,3.59E-15,NA,NA,NA,5.66E-05,0.024528684,NA,NA
Zm00001eb019880,9.53E-18,0.827793045,0.000259328,NA,0.000501118,NA,0.020996696,0.000893523,NA,NA
Zm00001eb019920,1.75E-08,0.704545001,8.21E-23,NA,NA,NA,9.50E-06,0.00140421,NA,NA
Zm00001eb020020,3.69E-05,0.603276343,2.64E-13,NA,NA,NA,0.000304108,0.049675676,NA,0.024319574
Zm00001eb020060,8.37E-13,0.813186308,1.93E-19,0.007504457,2.79E-05,0.00123576,NA,NA,NA,0.021496452
Zm00001eb020090,1.40E-09,0.717041638,1.85E-09,NA,NA,NA,0.000372841,NA,0.001262991,NA
Zm00001eb020180,2.39E-11,0.781498469,1.45E-14,NA,NA,0.039833029,0.001309876,NA,0.009651555,NA
Zm00001eb020340,1.41E-15,0.710443724,0.008552991,NA,4.79E-05,NA,NA,NA,NA,NA
Zm00001eb020400,1.20E-07,0.635312898,0.021916233,NA,0.000245955,NA,0.000459991,NA,NA,NA
Zm00001eb020600,0.000316066,0.614927154,0.006333966,NA,0.042773802,NA,0.03441484,NA,0.038176541,0.025449505
