gene,p-value,R-squared,p.valor_beta0,p.valor_MICH_noPvsB73_noP,p.valor_Time,p.valor_TimexMICH_noP,p.valor_Time2,p.valor_Time2xMICH_noP,p.valor_Time3,p.valor_Time3xMICH_noP
Zm00001eb011220,2.82E-13,0.744920581,7.92E-12,NA,NA,NA,6.05E-06,0.016011644,NA,NA
Zm00001eb011440,4.69E-08,0.627795581,NA,NA,9.00E-05,0.028905334,NA,NA,NA,NA
Zm00001eb011610,9.66E-07,0.665874912,4.67E-14,NA,5.52E-05,NA,NA,NA,NA,0.044928727
Zm00001eb011750,1.20E-10,0.750620977,7.80E-16,NA,NA,NA,8.00E-06,0.005100233,NA,NA
Zm00001eb011920,3.74E-07,0.683978147,0.000216447,NA,0.016819991,NA,0.015782838,0.008130352,0.021547163,NA
Zm00001eb011940,2.55E-10,0.731529484,6.69E-25,NA,4.56E-06,0.026503889,NA,NA,NA,NA
Zm00001eb012130,2.44E-06,0.670910633,2.87E-18,0.022592062,0.001870111,0.009476113,NA,0.01880854,NA,NA
Zm00001eb012180,5.18E-06,0.655847361,2.40E-14,NA,NA,NA,0.009082746,0.02090963,0.039763618,NA
Zm00001eb012310,3.72E-09,0.705385493,4.94E-20,NA,NA,NA,2.25E-05,0.043822712,NA,NA
Zm00001eb012560,1.07E-10,0.793788403,4.01E-14,NA,NA,NA,0.002204069,0.010829485,0.011540607,0.035894073
Zm00001eb012620,4.74E-10,0.769568097,0.007367618,NA,0.004110852,0.034768417,0.002144696,0.017260584,0.001771512,0.015306305
Zm00001eb012750,2.16E-30,0.898695258,5.25E-25,NA,3.75E-09,NA,NA,0.003213214,NA,NA
Zm00001eb013030,0.000173755,0.601364422,1.63E-21,0.002345058,NA,0.004003212,0.009825288,0.011270524,NA,NA
Zm00001eb013070,2.45E-05,0.601795833,0.004774065,NA,0.000972654,NA,NA,NA,NA,0.04738016
Zm00001eb013100,4.57E-07,0.692761222,3.22E-13,NA,4.14E-05,0.032100057,NA,NA,NA,NA
Zm00001eb013120,3.29E-05,0.610951489,1.84E-16,NA,NA,NA,0.000455912,0.023163264,NA,NA
Zm00001eb013150,2.01E-15,0.827072113,5.94E-11,0.002914074,NA,NA,0.005301623,NA,0.038262367,NA
Zm00001eb013230,7.51E-06,0.607453005,5.54E-19,NA,NA,NA,0.000184774,0.03458736,NA,NA
Zm00001eb013370,2.36E-09,0.733249583,6.26E-23,NA,NA,NA,0.000221568,0.01125468,NA,0.049916616
Zm00001eb013430,4.89E-28,0.812001392,0.010653202,0.016023288,NA,NA,NA,NA,1.62E-06,8.77E-05
Zm00001eb013450,7.05E-08,0.707848004,2.78E-18,NA,NA,0.012358585,0.000446398,NA,0.001632523,NA
Zm00001eb013670,5.76E-06,0.730061944,0.000561187,NA,NA,0.006208859,0.013145317,0.020575133,0.020980286,0.042484807
Zm00001eb013800,1.58E-10,0.609543409,NA,NA,NA,0.014309021,NA,0.019718261,NA,0.024884692
Zm00001eb014040,3.08E-07,0.624317023,0.007516162,NA,NA,0.006311608,NA,0.009621708,NA,0.015255556
Zm00001eb014490,9.21E-23,0.864399613,4.10E-18,NA,NA,NA,0.000793924,0.002299616,0.024735785,NA
Zm00001eb014830,3.24E-07,0.689311289,5.06E-13,NA,3.29E-05,NA,NA,NA,NA,0.020182838
Zm00001eb014860,1.63E-06,0.663428088,NA,0.004873751,0.001440679,0.006061638,NA,0.006164622,NA,0.005640906
Zm00001eb015070,5.20E-06,0.644916147,2.88E-16,NA,0.000441771,NA,0.00020255,0.041411723,NA,NA
Zm00001eb015100,1.44E-05,0.62415496,1.02E-06,0.029710847,NA,0.021480535,0.009698941,0.019193494,NA,0.01913738
Zm00001eb015240,1.57E-09,0.733279809,7.70E-19,NA,NA,NA,0.000335807,0.039215371,0.002015651,NA
Zm00001eb015350,3.47E-11,0.710818931,1.14E-08,NA,NA,0.003815993,NA,NA,NA,NA
Zm00001eb015380,1.16E-06,0.677372835,1.75E-16,NA,NA,0.006290354,0.007134684,NA,0.027851339,NA
Zm00001eb015390,8.40E-11,0.793895051,0.003143864,0.018349328,0.001599452,0.013367406,0.00174425,0.010106225,NA,NA
Zm00001eb015460,1.30E-06,0.654534782,4.31E-08,0.003171132,NA,0.004631134,NA,0.007573373,0.022831255,NA
Zm00001eb015510,5.06E-11,0.767271218,2.26E-09,NA,NA,NA,0.004213435,NA,0.039042962,0.03838342
Zm00001eb015550,2.31E-09,0.735113273,1.02E-17,0.001710648,NA,NA,0.000140584,NA,0.000399903,NA
Zm00001eb015600,1.92E-06,0.634005157,1.07E-11,NA,NA,0.006752424,0.001043219,NA,0.000737742,NA
Zm00001eb015630,7.52E-20,0.821154171,1.36E-09,NA,NA,NA,1.53E-07,0.028518718,NA,NA
Zm00001eb015950,1.29E-36,0.911100423,1.76E-22,NA,8.85E-10,0.021907857,NA,NA,NA,NA
Zm00001eb016200,3.69E-74,0.94147591,6.88E-15,NA,1.12E-09,NA,NA,0.007108697,NA,NA
Zm00001eb016250,1.26E-10,0.744077614,2.32E-17,NA,NA,NA,0.005829713,0.01423175,0.049886759,NA
Zm00001eb016410,1.08E-21,0.805051046,6.75E-16,NA,NA,NA,5.70E-08,0.021809539,NA,0.031204711
Zm00001eb016420,4.25E-07,0.774190275,NA,0.009557447,0.006611529,0.013372796,0.013814334,0.014112412,0.025438521,0.015528623
Zm00001eb016740,7.30E-07,0.634253828,3.32E-14,NA,0.000145514,NA,NA,NA,NA,0.005079307
Zm00001eb017010,8.84E-06,0.635836644,2.51E-11,NA,NA,0.001141972,NA,0.005840998,NA,0.016568191
Zm00001eb017020,0,0.999999978,5.99E-07,2.72E-06,2.61E-06,9.94E-05,3.83E-05,0.000816475,0.000221545,0.003054445
Zm00001eb017030,1.27E-32,0.908945249,1.83E-08,0.023211667,NA,0.009759888,0.00036862,0.004908395,0.001412419,0.003207285
Zm00001eb017260,2.86E-06,0.602697066,5.72E-17,NA,NA,NA,0.000427848,0.039257896,NA,NA
Zm00001eb017460,1.08E-05,0.61787317,6.27E-17,NA,0.000158239,NA,NA,NA,NA,0.042510993
Zm00001eb017660,6.01E-19,0.830737707,0.004117157,NA,NA,NA,0.000875611,0.006564041,0.012209677,NA
Zm00001eb017670,4.20E-09,0.705408936,NA,NA,1.03E-05,0.026430127,NA,NA,NA,NA
Zm00001eb017790,5.36E-06,0.731126704,NA,0.016391248,0.012014806,0.021872511,0.026371011,0.024114349,0.043571393,0.025480485
Zm00001eb017870,5.13E-05,0.616482849,NA,0.004497138,NA,0.002688407,NA,0.003772889,NA,0.005431825
Zm00001eb018040,1.88E-07,0.666809686,4.53E-20,NA,NA,0.018973827,7.96E-05,NA,NA,NA
Zm00001eb018110,9.97E-11,0.727808128,0.006273338,NA,0.004835839,0.007086428,0.001219618,NA,NA,NA
Zm00001eb018660,1.28E-06,0.646933503,NA,NA,0.001625661,NA,NA,0.021050914,NA,0.014642442
Zm00001eb018870,1.77E-12,0.75700796,0.017392522,NA,5.78E-06,0.015899398,NA,NA,NA,NA
Zm00001eb019030,1.10E-06,0.681566905,1.13E-13,NA,0.038076127,NA,0.004388036,0.025159055,NA,NA
Zm00001eb019090,2.48E-05,0.66992323,8.05E-07,0.037300483,NA,0.036427252,NA,0.033855398,0.004885107,0.027405331
Zm00001eb019530,2.27E-11,0.79275146,1.19E-15,0.045983736,NA,NA,0.003512052,NA,0.020463056,NA
Zm00001eb019570,2.14E-10,0.681776223,1.94E-07,0.00563296,NA,NA,0.005037928,NA,0.027884452,NA
Zm00001eb019580,1.44E-11,0.739195703,9.58E-11,NA,NA,NA,0.000402705,0.03037445,0.004180429,NA
Zm00001eb019680,4.71E-08,0.678955013,0.0002375,NA,3.95E-05,NA,NA,0.005822022,NA,NA
Zm00001eb019720,2.25E-09,0.70398383,3.90E-26,NA,NA,0.013406102,6.24E-06,NA,NA,NA
Zm00001eb019840,4.21E-07,0.649373703,3.59E-15,NA,NA,NA,5.66E-05,0.024528684,NA,NA
Zm00001eb019880,9.53E-18,0.827793045,0.000259328,NA,0.000501118,NA,0.020996696,0.000893523,NA,NA
Zm00001eb019920,1.75E-08,0.704545001,8.21E-23,NA,NA,NA,9.50E-06,0.00140421,NA,NA
Zm00001eb020020,3.69E-05,0.603276343,2.64E-13,NA,NA,NA,0.000304108,0.049675676,NA,0.024319574
Zm00001eb020060,8.37E-13,0.813186308,1.93E-19,0.007504457,2.79E-05,0.00123576,NA,NA,NA,0.021496452
Zm00001eb020180,2.39E-11,0.781498469,1.45E-14,NA,NA,0.039833029,0.001309876,NA,0.009651555,NA
Zm00001eb020600,0.000316066,0.614927154,0.006333966,NA,0.042773802,NA,0.03441484,NA,0.038176541,0.025449505
Zm00001eb020800,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb021060,1.50E-10,0.841974719,0.001073769,0.003037842,0.001872653,0.003794918,0.001271061,0.003719593,0.001116708,0.003926918
Zm00001eb021360,7.28E-07,0.673113059,1.16E-08,NA,NA,NA,0.00454378,0.034948394,0.023748811,NA
Zm00001eb021370,4.14E-06,0.617990169,1.13E-17,NA,NA,NA,0.017298196,0.00343807,NA,0.009253429
Zm00001eb021720,4.93E-08,0.661459622,5.28E-10,NA,1.06E-05,NA,NA,0.017552848,NA,NA
Zm00001eb021830,9.06E-10,0.721162948,1.52E-24,NA,NA,NA,NA,5.97E-05,5.82E-06,NA
Zm00001eb021880,8.79E-09,0.722396862,2.51E-16,NA,NA,NA,0.000748833,0.014781991,0.004487278,NA
Zm00001eb021980,2.56E-07,0.707026408,3.82E-13,NA,NA,0.005074833,0.001475084,0.019437546,0.00192833,NA
Zm00001eb022040,3.53E-14,0.792376647,1.02E-22,NA,7.55E-07,NA,NA,0.037894566,NA,NA
Zm00001eb022060,0.000588052,0.60660439,0.000194249,0.035025319,0.035286321,0.033909017,NA,0.0363909,NA,0.041621666
Zm00001eb022170,1.94E-06,0.623884289,1.00E-06,NA,0.012457821,NA,NA,0.000942659,NA,0.001826131
Zm00001eb022360,5.87E-22,0.844047365,NA,NA,NA,NA,0.003139259,0.000844038,0.012429962,0.002116559
Zm00001eb022390,4.02E-07,0.662915589,8.58E-09,0.013655932,NA,NA,0.000341506,NA,0.000802383,NA
Zm00001eb022720,9.13E-06,0.703731414,1.77E-09,0.014297791,NA,0.008441536,0.015343162,0.008450149,0.028547948,NA
Zm00001eb022780,5.63E-06,0.658789045,0.017782099,NA,0.033443172,0.007899669,0.016317777,0.005179589,NA,0.004304334
Zm00001eb022920,6.97E-07,0.635832234,0.000150166,NA,6.30E-05,0.036436179,NA,NA,NA,NA
Zm00001eb022970,4.28E-19,0.773087475,NA,NA,NA,0.000173847,2.04E-05,NA,NA,NA
Zm00001eb022980,6.36E-07,0.630094559,1.13E-15,NA,NA,NA,4.40E-05,0.018050134,NA,NA
Zm00001eb023210,1.71E-09,0.701891084,1.69E-11,NA,NA,NA,0.000219951,0.000208198,NA,NA
Zm00001eb023230,1.31E-06,0.66382719,6.58E-14,NA,NA,NA,0.000181153,0.031418935,NA,NA
Zm00001eb023540,2.07E-10,0.708357098,1.15E-08,NA,NA,NA,4.93E-05,0.003300292,NA,NA
Zm00001eb023650,0.000360956,0.605900086,1.13E-09,NA,0.008915499,0.004269351,0.008091398,0.009619272,NA,NA
Zm00001eb023740,1.02E-06,0.665735202,1.19E-11,NA,NA,NA,0.000323565,0.038294027,NA,NA
Zm00001eb024240,3.61E-07,0.668039431,4.12E-13,NA,4.52E-05,0.021673243,NA,NA,NA,NA
Zm00001eb024390,1.34E-06,0.650482036,5.87E-07,NA,NA,0.029377442,0.000832538,0.005227896,NA,NA
Zm00001eb024430,2.74E-18,0.790987512,2.33E-06,0.001376024,NA,NA,0.000672257,NA,0.006341633,NA
Zm00001eb024550,0.000220935,0.606063659,1.59E-20,0.001761412,NA,0.002605558,0.015319057,0.008800908,NA,NA
Zm00001eb024610,1.40E-07,0.690751998,4.10E-16,2.25E-05,NA,0.000102624,NA,0.000244494,NA,NA
Zm00001eb025140,4.03E-12,0.760076667,4.09E-25,NA,1.77E-06,NA,NA,0.022432264,NA,NA
Zm00001eb025160,1.33E-28,0.920097382,9.49E-10,0.018163833,NA,0.00909386,0.000147792,0.004543377,0.000286744,0.002793446
Zm00001eb025190,2.68E-07,0.660120947,2.06E-14,NA,NA,NA,0.000188162,NA,NA,0.00376439
Zm00001eb025220,9.50E-07,0.607351703,0.00655823,NA,0.000721464,0.00185615,NA,0.002100977,NA,NA
Zm00001eb025490,6.41E-18,0.857715112,0.014087162,NA,7.34E-05,NA,0.000217384,0.006803178,0.000639709,0.009824802
Zm00001eb025770,2.19E-11,0.771247398,0.034576612,0.031071656,0.015291512,0.029561231,0.030743843,0.042703832,NA,NA
Zm00001eb025880,3.01E-22,0.871254411,9.51E-08,NA,0.001188105,0.006317823,0.003748726,NA,0.006739082,NA
Zm00001eb025970,8.92E-27,0.870345245,NA,NA,NA,3.41E-06,NA,3.35E-05,NA,NA
Zm00001eb025980,9.40E-08,0.654936902,NA,NA,0.00076199,0.011436959,NA,NA,NA,NA
Zm00001eb026090,2.29E-07,0.645777499,NA,0.000264678,NA,0.00253677,NA,NA,NA,NA
Zm00001eb026680,2.75E-24,0.879056336,3.98E-09,NA,0.000135965,0.003681355,NA,NA,NA,NA
Zm00001eb027020,9.00E-11,0.7381832,0.000103057,NA,7.93E-06,NA,NA,0.043876157,NA,0.020251936
Zm00001eb027280,7.60E-07,0.645313577,NA,0.005397389,0.000430963,NA,0.000844972,NA,NA,NA
Zm00001eb027330,7.03E-06,0.732379134,NA,0.037939939,0.015741108,0.021508206,0.010560242,0.018817656,0.007896635,0.018165858
Zm00001eb027700,9.95E-08,0.661183836,4.12E-05,NA,0.000248363,NA,8.56E-05,0.009494978,NA,NA
Zm00001eb027740,1.40E-09,0.713631939,1.39E-14,NA,NA,NA,1.50E-05,0.001656356,NA,NA
Zm00001eb027840,7.34E-07,0.748072963,3.40E-06,0.030529217,NA,0.016890831,0.028371853,0.01431596,0.016536581,0.012593766
Zm00001eb027900,2.05E-08,0.690256614,3.57E-14,NA,NA,NA,0.000125845,NA,NA,0.008701887
Zm00001eb028210,3.55E-08,0.729846214,1.43E-09,0.021869793,NA,0.016709667,0.000348068,NA,0.00119721,NA
Zm00001eb028370,1.89E-06,0.663166297,4.43E-20,NA,NA,0.000339353,0.003050026,NA,NA,NA
Zm00001eb028510,9.79E-11,0.781116662,8.91E-19,0.003404626,NA,0.006453701,0.002631142,0.00984626,NA,NA
Zm00001eb028610,7.03E-10,0.712412835,NA,NA,NA,NA,6.66E-05,NA,NA,0.033163693
Zm00001eb028860,2.87E-09,0.748761298,3.88E-06,NA,NA,NA,0.002101116,NA,0.014954254,0.017060709
Zm00001eb028910,2.02E-07,0.686874684,1.79E-17,0.004004277,NA,0.019156263,NA,0.03290914,NA,0.042953822
Zm00001eb029210,1.20E-10,0.744652726,0.00213908,NA,NA,NA,0.002975085,0.001844001,NA,NA
Zm00001eb029520,3.47E-12,0.762626853,1.63E-26,NA,NA,0.006022539,9.11E-07,NA,NA,NA
Zm00001eb029530,1.09E-11,0.780449094,3.02E-14,NA,NA,NA,0.001812952,0.005205771,0.01757994,NA
Zm00001eb029770,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb029940,7.49E-07,0.708818461,0.001646101,NA,0.028614172,0.024490431,0.031938417,0.019895246,0.022544116,NA
Zm00001eb029980,7.50E-12,0.761135286,6.72E-06,NA,NA,0.010704355,0.001742685,0.010985329,0.005300411,0.016651713
Zm00001eb030190,2.59E-13,0.760080083,2.68E-05,NA,NA,NA,3.11E-05,0.004146072,NA,NA
Zm00001eb030620,3.16E-06,0.619167876,2.13E-10,NA,NA,NA,NA,0.000600407,NA,0.001522125
Zm00001eb030730,1.85E-09,0.684269376,4.49E-07,NA,2.95E-05,NA,NA,NA,NA,0.019943385
Zm00001eb030740,7.34E-08,0.677855016,NA,NA,8.25E-05,NA,NA,NA,NA,0.01233487
Zm00001eb030970,4.17E-09,0.70347277,6.89E-16,NA,2.93E-05,NA,NA,NA,NA,0.014181602
Zm00001eb031100,3.11E-12,0.778988006,5.24E-05,NA,0.000186848,0.039963601,0.002898998,NA,NA,NA
Zm00001eb031370,8.60E-09,0.751148551,0.008936951,NA,0.004883487,NA,0.010828717,0.035511181,0.022099906,0.048827976
Zm00001eb031870,4.31E-17,0.826632368,1.85E-22,NA,1.27E-07,0.012982177,NA,NA,NA,NA
Zm00001eb031990,1.15E-05,0.652808058,4.90E-16,0.001880528,NA,0.002410253,NA,0.002106325,NA,0.00161307
Zm00001eb032330,5.83E-06,0.611724263,NA,NA,0.00037851,NA,NA,NA,NA,0.026054849
Zm00001eb032380,2.85E-13,0.812907106,5.21E-18,0.034219963,NA,NA,0.000929406,NA,0.005945038,NA
Zm00001eb032420,1.72E-08,0.759048755,5.82E-05,0.017188862,0.001930992,0.025385652,NA,NA,NA,NA
Zm00001eb032560,1.29E-09,0.726222307,NA,NA,NA,NA,6.58E-05,0.02554781,NA,NA
Zm00001eb032570,7.33E-13,0.784017666,NA,NA,NA,NA,0.00599859,0.000540144,0.013590056,NA
Zm00001eb032590,7.33E-13,0.784017666,NA,NA,NA,NA,0.00599859,0.000540144,0.013590056,NA
Zm00001eb032810,0.000333518,0.629842801,0.011667327,NA,0.021308132,0.00331442,0.018199583,0.003656071,0.011390211,NA
Zm00001eb033010,4.17E-11,0.766034657,0.023768543,NA,0.004019284,NA,0.006462872,0.00441915,NA,NA
Zm00001eb033050,4.48E-16,0.79105319,8.50E-17,NA,NA,NA,3.79E-07,1.12E-05,NA,NA
Zm00001eb033090,0,0.999999957,9.68E-07,3.86E-06,3.71E-06,0.000135289,5.28E-05,0.001066901,0.000297336,0.003859722
Zm00001eb033110,2.83E-06,0.612942952,7.43E-13,NA,0.000247925,NA,NA,0.003668476,NA,NA
Zm00001eb033390,3.23E-17,0.831731641,6.66E-24,NA,NA,NA,1.37E-07,0.008698387,NA,NA
Zm00001eb033740,8.16E-05,0.704017448,NA,0.032916943,0.014837525,0.033320724,0.018818133,0.031624485,0.028597442,0.03400212
Zm00001eb034240,2.04E-19,0.794698487,0.006182036,NA,NA,0.00016824,5.88E-07,NA,NA,NA
Zm00001eb034290,2.04E-09,0.750474502,2.40E-08,NA,0.000496535,0.04266807,0.00596637,NA,NA,NA
Zm00001eb034370,4.25E-11,0.775109349,2.32E-08,NA,0.000136543,0.022287495,0.001653566,NA,NA,NA
Zm00001eb034480,5.86E-06,0.649155394,3.29E-05,NA,0.001613012,0.019982164,0.00909464,NA,NA,NA
