gene,p-value,R-squared,p.valor_beta0,p.valor_ControlvsPhosphorus,p.valor_Time,p.valor_TimexControl,p.valor_Time2,p.valor_Time2xControl,p.valor_Time3,p.valor_Time3xControl
Zm00001eb038410,7.67E-08,0.870996403,8.73E-11,NA,NA,NA,2.04E-05,NA,0.000264173,NA
Zm00001eb038810,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb039050,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb040900,3.05E-06,0.795555042,1.31E-08,NA,NA,NA,0.000479964,NA,0.003895895,NA
Zm00001eb041060,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb041070,6.13E-07,0.832709958,4.47E-07,NA,0.001420305,NA,0.033952682,NA,NA,NA
Zm00001eb041150,1.91E-05,0.874251601,1.87E-06,0.001174184,0.000668524,0.00214996,0.005387789,0.003998953,NA,NA
Zm00001eb042520,8.66E-07,0.825341685,2.75E-07,NA,0.00187031,NA,0.0407688,NA,NA,NA
Zm00001eb042530,2.30E-06,0.802674632,1.96E-12,NA,NA,NA,5.26E-07,0.002272528,NA,NA
Zm00001eb043650,1.22E-05,0.808442256,NA,8.03E-06,NA,0.00023643,NA,0.00188749,NA,NA
Zm00001eb043660,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb044990,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb045010,9.99E-06,0.762881817,NA,NA,NA,NA,2.22E-06,0.001023115,NA,NA
Zm00001eb045780,3.78E-05,0.822314674,4.40E-05,0.000647121,NA,0.001449906,0.006971237,0.003816724,NA,NA
Zm00001eb047250,0.000180355,0.889534884,6.61E-05,0.000421631,0.000657996,0.003151726,0.003306019,0.009428068,0.009629994,0.016569611
Zm00001eb048870,6.97E-05,0.845544066,0.000259611,0.017125592,0.003869059,0.043493815,0.01801556,NA,0.041413481,NA
Zm00001eb048920,1.80E-06,0.852041288,1.18E-09,NA,NA,0.020034176,0.002015151,NA,0.030919534,NA
Zm00001eb050090,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb050260,0.001189738,0.755794885,0.005442363,NA,0.002763517,NA,0.001105387,0.019345872,0.000675998,0.018702994
Zm00001eb050360,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb050500,0.001066632,0.760126595,5.87E-05,0.003915132,0.000436261,0.019389044,0.001442,0.048264845,NA,NA
Zm00001eb051130,1.58E-07,0.858796436,1.90E-08,NA,3.60E-06,NA,4.88E-05,NA,NA,NA
Zm00001eb051250,2.63E-05,0.867696946,0.002812799,0.001728613,1.71E-05,0.000552321,2.35E-05,0.001170267,NA,NA
Zm00001eb051930,1.17E-07,0.864013002,1.16E-08,NA,0.000320657,NA,0.011617974,NA,NA,NA
Zm00001eb052020,1.76E-05,0.745494857,4.77E-06,NA,0.001234726,NA,0.012132186,NA,NA,NA
Zm00001eb052450,0.001948247,0.680760046,0.000200726,0.000316886,0.004410057,0.001885239,0.033183737,NA,NA,NA
Zm00001eb053070,1.39E-06,0.890196918,NA,0.015816179,NA,0.00977982,NA,0.004574278,NA,0.001601804
Zm00001eb053360,6.68E-05,0.846600047,0.004684365,NA,0.000961593,NA,0.001147088,0.000515969,0.001840652,0.001621624
Zm00001eb054230,5.36E-07,0.947486071,5.72E-06,0.014814213,0.000320206,0.01779729,0.003013966,0.020135017,0.013145668,NA
Zm00001eb054380,1.14E-07,0.864482778,2.70E-12,NA,NA,NA,0.00020304,NA,0.003311585,NA
Zm00001eb054900,0.000437362,0.869094488,0.000107904,0.000211731,0.001004815,0.000999831,0.004736616,0.002876197,0.01309921,0.005776651
Zm00001eb055340,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb056050,0.000386695,0.872160996,NA,0.005679499,0.017460757,0.008336324,0.015689331,0.012198374,0.019460623,0.017203436
Zm00001eb056460,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb057250,7.03E-08,0.904337112,9.60E-06,NA,0.000551941,NA,0.004991046,NA,0.019015636,NA
Zm00001eb057400,0.000146532,0.826064054,2.18E-05,0.008872801,0.000670843,0.013630313,0.002176161,0.015040687,NA,NA
Zm00001eb057540,2.14E-08,0.890033586,1.24E-08,NA,1.96E-06,NA,4.61E-05,NA,NA,NA
Zm00001eb058590,5.37E-07,0.835452548,3.83E-12,NA,1.17E-07,0.014308989,NA,NA,NA,NA
Zm00001eb064420,1.56E-05,0.843890084,0.004115585,0.000640979,0.043992008,0.002425745,NA,0.007689901,NA,NA
Zm00001eb064780,1.50E-08,0.942948453,3.89E-06,0.001310727,NA,0.012392542,5.28E-05,NA,0.000127805,NA
Zm00001eb066090,0.000695099,0.856832261,0.0006151,0.014240118,0.000155397,0.004169868,5.31E-05,0.001730667,2.91E-05,0.001016483
Zm00001eb067170,0.000180355,0.889534884,0.000695771,0.004894895,0.000141239,0.001700005,4.23E-05,0.000641526,2.17E-05,0.000353906
Zm00001eb070390,2.47E-06,0.931932307,4.54E-06,0.003002139,0.000117748,0.007849714,0.001223764,0.018567245,0.00643973,NA
Zm00001eb071760,0.000367107,0.873432602,5.07E-05,0.000340896,0.000394925,0.001688874,0.00161724,0.004677666,0.004152601,0.009244618
Zm00001eb071770,2.10E-07,0.853649153,4.98E-11,NA,NA,NA,7.44E-05,NA,0.000913021,NA
Zm00001eb071800,7.83E-06,0.89078252,7.98E-06,0.023549365,0.00134411,0.027808973,0.011231827,0.046471175,NA,NA
Zm00001eb072810,1.80E-06,0.852140576,NA,NA,2.33E-05,0.0039052,NA,NA,0.005424902,NA
Zm00001eb073250,1.42E-07,0.958019967,1.23E-07,0.000220927,2.82E-05,0.001032046,0.000557647,0.003538752,NA,0.00893575
Zm00001eb074750,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb076350,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb076680,6.30E-06,0.894465364,1.62E-06,0.002708243,4.19E-05,0.008945611,0.000240293,0.019528965,NA,NA
Zm00001eb077910,0.000293872,0.805458975,6.38E-05,0.009961245,0.000376385,0.020262774,0.001350187,0.03732768,NA,NA
Zm00001eb077950,3.68E-151,1,1.97E-143,4.46E-142,1.32E-144,4.56E-143,1.10E-145,4.04E-144,8.93E-147,3.20E-145
Zm00001eb079830,6.67E-05,0.699353517,NA,NA,NA,NA,NA,NA,1.55E-05,0.001663491
Zm00001eb080250,2.28E-206,1,NA,4.68E-196,NA,4.78E-197,NA,2.38E-198,NA,9.11E-200
Zm00001eb080840,2.52E-07,0.850291204,6.24E-11,0.006354024,2.99E-07,NA,NA,NA,NA,NA
Zm00001eb081060,9.31E-06,0.764962893,6.43E-07,NA,0.000877538,NA,0.009897359,NA,NA,NA
Zm00001eb082130,1.39E-05,0.805037293,NA,NA,0.030883683,NA,0.021409892,NA,0.02595445,NA
Zm00001eb082200,1.37E-05,0.68079294,NA,NA,NA,NA,1.37E-05,NA,NA,NA
Zm00001eb083210,2.38E-07,0.851410912,6.16E-11,NA,NA,NA,0.001710979,NA,0.026270929,NA
Zm00001eb083680,4.58E-07,0.876974048,4.06E-11,NA,NA,NA,0.001426493,0.007089423,0.037767444,NA
Zm00001eb085400,6.01E-05,0.849170806,7.54E-07,NA,NA,0.003494734,0.006148808,0.008610686,0.03331528,0.01846872
Zm00001eb085470,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb085650,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb087720,0.000157249,0.729174113,NA,NA,NA,NA,0.000490222,0.006132864,0.002662527,NA
Zm00001eb088950,4.33E-06,0.786408369,1.47E-06,NA,4.73E-05,NA,0.000404045,NA,NA,NA
Zm00001eb090330,1.32E-07,0.89593013,2.39E-05,NA,0.000979023,NA,0.007090916,NA,0.021900567,NA
Zm00001eb091060,2.37E-06,0.846519055,0.038094204,NA,NA,NA,4.21E-05,0.020741094,0.000455828,NA
Zm00001eb091360,4.41E-06,0.833090221,8.59E-05,NA,0.004661068,NA,0.017408581,NA,0.034093722,NA
Zm00001eb092540,1.19E-07,0.897303846,1.21E-05,NA,0.001040251,NA,0.00615654,NA,0.015472723,NA
Zm00001eb092770,3.35E-06,0.793177614,NA,NA,NA,NA,NA,NA,8.48E-07,4.70E-05
Zm00001eb093210,3.33E-05,0.780644345,NA,NA,NA,NA,0.000925962,0.005521457,0.008406918,NA
Zm00001eb096200,2.15E-11,0.977699531,NA,5.49E-12,NA,4.39E-12,NA,8.05E-12,NA,1.69E-11
Zm00001eb096870,4.07E-07,0.841065044,3.60E-14,NA,NA,NA,1.51E-07,0.024395938,NA,NA
Zm00001eb097580,4.97E-06,0.943786115,2.81E-06,3.43E-05,5.63E-05,0.000651952,0.000591983,0.004993152,0.003655403,0.0211906
Zm00001eb097980,4.30E-05,0.857000625,8.23E-06,0.026848404,0.000914181,0.027097887,0.00463533,NA,NA,0.047317117
Zm00001eb098070,3.27E-06,0.793789855,1.42E-06,NA,0.000808949,NA,0.012034042,NA,NA,NA
Zm00001eb098110,2.92E-05,0.728864952,NA,NA,NA,NA,1.16E-05,0.000129717,NA,NA
Zm00001eb098710,6.93E-05,0.757729516,NA,NA,NA,NA,0.000222606,NA,0.000413847,0.013532211
Zm00001eb099430,1.54E-06,0.812356794,NA,NA,NA,NA,3.63E-07,8.36E-05,NA,NA
Zm00001eb099790,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb099800,0.000223395,0.852120236,0.000107564,0.00404839,0.001262789,0.015567817,0.008388818,0.036516016,0.030336612,NA
Zm00001eb100140,8.44E-07,0.825896287,5.42E-10,NA,NA,NA,0.002979199,NA,0.034711248,NA
Zm00001eb100930,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb101350,9.10E-06,0.888160049,3.90E-06,0.004304176,3.05E-05,0.012355369,0.000140997,0.027157831,NA,NA
Zm00001eb101660,3.98E-06,0.788625778,2.30E-09,0.001368855,NA,NA,1.43E-05,NA,NA,NA
Zm00001eb101710,3.11E-06,0.876590977,9.63E-08,NA,0.001533465,NA,0.040514721,0.017968344,NA,0.045377352
Zm00001eb101900,4.13E-05,0.889700745,NA,0.015915529,NA,0.003894708,0.027334476,0.000917465,0.005319524,0.00027682
Zm00001eb102100,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb102370,0.000333181,0.875768787,0.02586287,0.028256862,0.009720748,0.012985922,0.003304312,0.00595248,0.001941275,0.003273744
Zm00001eb102410,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb103040,5.54E-05,0.851091156,2.37E-06,0.000169727,3.09E-05,0.000737707,0.000139149,0.002035065,NA,NA
Zm00001eb105580,1.53E-05,0.750018001,6.68E-06,NA,0.000343136,NA,0.002975303,NA,NA,NA
Zm00001eb105610,0.009027268,0.596399327,0.000385569,0.0025129,0.001164332,0.002445635,0.003875278,NA,NA,NA
Zm00001eb106430,3.22E-08,0.841744196,4.90E-12,NA,3.22E-08,NA,NA,NA,NA,NA
Zm00001eb106810,1.87E-06,0.912777683,1.66E-07,0.020688364,NA,0.015674641,0.000497797,0.023959467,0.002568002,NA
Zm00001eb107080,1.20E-06,0.918653558,8.90E-07,0.003079816,0.00058436,0.005206814,0.009528815,NA,NA,0.021369519
Zm00001eb109410,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb110130,1.96E-05,0.903013054,0.022833925,NA,0.003726135,0.022129187,0.000645048,0.00560876,0.000365101,0.004296562
Zm00001eb110200,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb111980,5.84E-07,0.833740736,1.65E-07,NA,0.000409427,NA,0.009349419,NA,NA,NA
Zm00001eb112060,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb112180,1.16E-06,0.818873899,7.41E-08,NA,1.94E-05,NA,0.000206801,NA,NA,NA
Zm00001eb112260,1.32E-07,0.813547815,1.55E-13,NA,1.32E-07,NA,NA,NA,NA,NA
Zm00001eb112490,1.21E-06,0.918501475,0.000299379,0.000800962,NA,0.00067269,3.87E-05,NA,7.30E-06,9.56E-05
Zm00001eb114170,6.15E-08,0.948823971,6.25E-08,0.003038914,2.75E-06,0.007449143,1.99E-05,0.014104673,NA,NA
Zm00001eb114580,4.24E-06,0.945402299,1.49E-06,1.52E-05,2.16E-05,0.000197538,0.000160422,0.000925216,0.000660314,0.002262515
Zm00001eb115670,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb117260,8.00E-06,0.81912732,0.00015157,NA,0.003754629,NA,0.013936959,NA,0.028330748,NA
Zm00001eb117490,1.52E-05,0.878671775,9.23E-07,5.29E-06,8.72E-06,7.80E-05,4.66E-05,0.000485699,NA,NA
Zm00001eb118770,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb120590,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb121000,3.50E-07,0.8813253,2.96E-08,NA,0.000927032,0.025491408,0.048044184,NA,NA,NA
Zm00001eb122500,2.99E-06,0.929693983,6.63E-05,0.001275784,0.00648424,0.000850393,0.021103077,0.000842407,NA,0.000879822
Zm00001eb123240,4.07E-08,0.880826096,8.50E-12,NA,NA,NA,0.000636479,NA,0.014573575,NA
Zm00001eb123560,4.09E-06,0.925816513,4.55E-06,4.89E-05,0.000179611,0.000229371,0.003280002,0.000683825,0.024907719,NA
Zm00001eb124380,0.000519607,0.786661396,0.009493161,NA,0.001614427,0.032481194,0.002342539,0.046816629,0.004764615,NA
Zm00001eb125120,0.000101322,0.744897471,NA,NA,NA,NA,0.006152049,0.02805071,0.046134636,NA
Zm00001eb125470,2.58E-06,0.736785918,1.38E-10,NA,2.58E-06,NA,NA,NA,NA,NA
Zm00001eb127040,2.59E-06,0.79972686,2.23E-11,NA,NA,NA,6.51E-07,0.005897008,NA,NA
Zm00001eb127150,6.93E-07,0.773911709,3.61E-11,NA,6.93E-07,NA,NA,NA,NA,NA
Zm00001eb127500,4.01E-05,0.916896869,4.56E-05,0.000803493,1.51E-05,0.000444249,6.27E-06,0.000225053,4.16E-06,0.000158098
Zm00001eb127560,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb128920,3.00E-09,0.913986059,1.25E-10,NA,5.69E-07,NA,NA,NA,0.000600088,NA
Zm00001eb129330,3.17E-06,0.794547987,8.63E-07,NA,0.001269073,NA,0.019586497,NA,NA,NA
Zm00001eb129600,3.47E-05,0.861764996,9.91E-08,0.000523317,NA,NA,0.000171379,0.0004268,0.000582215,0.000578845
Zm00001eb130500,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb132990,0.001028578,0.761548834,4.63E-05,0.00235762,0.000194182,0.003939111,0.000499221,0.007022559,NA,NA
Zm00001eb133300,2.65E-05,0.73218968,NA,NA,NA,NA,NA,NA,1.01E-05,7.49E-05
Zm00001eb133680,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb133820,2.01E-06,0.805929117,NA,NA,NA,NA,NA,0.011287476,NA,0.000808457
Zm00001eb134090,2.58E-05,0.868142367,2.71E-06,0.003384984,0.000187443,0.009292776,0.001142752,0.020013298,NA,NA
Zm00001eb135090,7.31E-05,0.755983815,NA,NA,0.002296541,4.88E-05,0.010589599,NA,NA,NA
Zm00001eb135680,8.25E-06,0.857772518,4.55E-06,NA,4.86E-05,0.000343896,0.000169315,0.001748109,NA,NA
Zm00001eb135770,2.45E-06,0.845858158,NA,NA,NA,NA,0.001659541,1.67E-05,0.029026824,NA
Zm00001eb136100,1.51E-05,0.907304922,5.13E-06,1.05E-06,5.84E-05,8.90E-07,0.000580839,NA,0.005294875,1.04E-06
Zm00001eb136270,0.001355687,0.750505051,5.87E-05,0.001494611,0.00023691,0.005988534,0.000712289,0.015499619,NA,NA
Zm00001eb136840,3.29E-06,0.793659881,1.57E-08,NA,NA,NA,0.000473329,NA,0.003772879,NA
Zm00001eb137260,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb137370,5.07E-08,0.877506437,0.027293926,NA,NA,NA,NA,5.88E-05,NA,3.62E-06
Zm00001eb137740,5.83E-06,0.778346642,2.70E-07,NA,0.000656535,NA,0.008173278,NA,NA,NA
Zm00001eb137780,3.83E-09,0.966738038,1.75E-09,NA,6.08E-07,0.000310001,NA,0.000945974,0.00011521,0.00196986
Zm00001eb138250,2.25E-07,0.852399303,2.70E-08,NA,3.18E-05,NA,NA,NA,0.009661961,NA
Zm00001eb138740,0.000639271,0.779353567,8.93E-05,5.73E-05,0.000520985,7.45E-05,0.00183044,0.000174579,NA,NA
Zm00001eb138870,2.79E-05,0.922413793,0.000564501,0.001508474,0.000115748,0.000444173,3.68E-05,0.000142386,2.17E-05,6.61E-05
Zm00001eb139570,6.89E-07,0.925424964,0.001065406,0.000205628,0.005821721,0.001260987,NA,0.004436134,NA,0.011126751
Zm00001eb140540,2.51E-08,0.916694631,5.82E-06,NA,0.001091025,NA,0.00706816,NA,0.017168316,NA
Zm00001eb141040,0.000368088,0.627827735,NA,NA,NA,NA,0.000102904,0.003183909,NA,NA
Zm00001eb141260,2.70E-05,0.867212169,4.70E-06,0.001359131,5.27E-05,0.005116899,0.000278374,0.013818687,NA,NA
Zm00001eb142340,0.001340634,0.698267796,NA,NA,NA,NA,0.003718004,0.000631841,0.005932382,0.000743802
Zm00001eb142930,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb143320,3.03E-05,0.864698263,2.65E-07,0.006884788,NA,0.009857399,0.001615391,0.022569205,0.007736876,NA
Zm00001eb143610,7.25E-148,1,2.80E-148,6.33E-147,6.12E-147,2.11E-145,7.58E-146,2.78E-144,5.32E-145,1.91E-143
Zm00001eb146370,5.19E-06,0.82939204,NA,NA,0.01220614,NA,0.00899793,NA,0.012114742,NA
Zm00001eb146390,0.000107331,0.834526732,5.29E-06,0.000106806,5.54E-05,0.001055631,0.000291917,0.005133264,NA,NA
Zm00001eb147750,7.48E-07,0.828508583,4.94E-12,NA,2.45E-07,NA,NA,0.019727562,NA,NA
Zm00001eb149070,0.000478847,0.789470412,1.85E-05,0.000645866,8.53E-05,0.002991437,0.000270413,0.008420216,NA,NA
